uuid,gemini_ok,gemini_error,content_type,content_format,treatment_category,treatment_area,has_treatment_name,has_person,person_type,has_price_info,has_text_overlay,text_overlay_type,professional_score,content_area
1.809830156304261e+16,True,,lifestyle,single_visual,skin_care,skin_texture,False,False,,False,True,treatment_explanation,4.0,
1.7883706367818242e+16,True,,product_cosmetic,single_visual,none,none,False,False,,False,True,other,5.0,
1.806304921641532e+16,True,,wellness_other,single_visual,none,none,False,False,,False,True,other,3.0,
1.8031814593550204e+16,True,,product_cosmetic,single_visual,none,none,True,False,,False,True,other,3.0,
1.7982306455633694e+16,True,,beauty_tips,single_visual,none,none,False,False,,False,True,other,5.0,
1.8044377144430764e+16,True,,product_cosmetic,single_visual,none,other,False,True,lifestyle_model,False,False,,3.0,
1.8015031288627444e+16,True,,other,single_visual,none,none,False,False,,False,True,other,3.0,
1.801578024179647e+16,True,,product_cosmetic,single_visual,skin_care,none,False,True,lifestyle_model,False,False,,3.0,
1.7987573642270832e+16,True,,campaign_price,single_visual,skin_care,none,False,False,,False,True,price_campaign,5.0,
1.7949878933087484e+16,True,,product_cosmetic,single_visual,none,none,False,True,lifestyle_model,False,True,other,4.0,
1.7918609690541568e+16,True,,product_cosmetic,ranking_list,none,none,False,False,,False,True,other,4.0,
1.7921625695833278e+16,True,,product_cosmetic,single_visual,none,none,False,False,,False,True,treatment_explanation,5.0,
1.7974262120175952e+16,True,,product_cosmetic,single_visual,skin_care,none,True,False,,False,True,treatment_explanation,5.0,
1.7976324874611138e+16,True,,beauty_tips,single_visual,none,none,False,True,lifestyle_model,False,True,other,5.0,
1.7987887091483576e+16,True,,product_cosmetic,single_visual,none,none,False,True,staff,False,True,other,5.0,
1.801912568897083e+16,True,,product_cosmetic,single_visual,none,none,False,False,,False,True,other,5.0,
1.7917095725756544e+16,True,,product_cosmetic,single_visual,none,none,False,False,,False,True,other,5.0,
1.7935331927484844e+16,True,,product_cosmetic,single_visual,none,hair,True,False,,False,True,treatment_explanation,5.0,
1.7968886930586462e+16,True,,product_cosmetic,single_visual,none,none,True,False,,False,True,treatment_explanation,5.0,
1.8237105313204084e+16,True,,product_cosmetic,single_visual,skin_care,none,True,False,,False,True,other,5.0,
1.7992039354512066e+16,True,,product_cosmetic,single_visual,none,none,True,False,,False,True,treatment_explanation,3.0,
1.7969921231710284e+16,True,,product_cosmetic,single_visual,none,none,False,False,,False,True,treatment_explanation,4.0,
1.804323000150732e+16,True,,other,single_visual,none,none,False,True,staff,False,True,price_campaign,4.0,
1.798961135311288e+16,True,,product_cosmetic,single_visual,skin_care,none,True,False,,False,True,treatment_explanation,5.0,
1.7973130670329552e+16,True,,other,single_visual,none,none,False,True,lifestyle_model,False,True,other,3.0,
1.7906815154818872e+16,True,,product_cosmetic,single_visual,none,none,True,False,,False,True,treatment_explanation,4.0,
1.802819156593193e+16,True,,product_cosmetic,other,skin_care,none,False,True,lifestyle_model,False,True,other,4.0,
1.8007703222251078e+16,True,,other,single_visual,none,none,False,False,,False,False,,4.0,
1.7853141144012008e+16,True,,product_cosmetic,single_visual,none,none,False,True,staff,False,True,other,3.0,
1.839445348002896e+16,True,,other,single_visual,none,none,False,False,,False,False,,3.0,
1.7977234925662348e+16,True,,other,single_visual,none,none,False,True,lifestyle_model,False,True,clinic_info,5.0,
1.841255981202754e+16,True,,other,single_visual,none,none,False,True,lifestyle_model,False,True,other,3.0,
1.829211640015988e+16,True,,product_cosmetic,single_visual,none,none,False,False,,False,True,other,3.0,
1.802491896785177e+16,True,,other,single_visual,none,none,False,False,,False,True,other,5.0,
1.8008932448281524e+16,True,,product_cosmetic,single_visual,none,none,False,False,,False,True,other,4.0,
1.8116785030356028e+16,True,,other,single_visual,none,none,False,True,lifestyle_model,False,True,clinic_info,5.0,
1.804350901063245e+16,True,,product_cosmetic,single_visual,none,none,True,True,lifestyle_model,False,True,other,3.0,
1.800045064760488e+16,True,,product_cosmetic,single_visual,none,none,False,False,,False,True,other,5.0,
1.8033870469760616e+16,True,,staff_facility,single_visual,none,none,False,False,,False,False,,4.0,
1.8049507903597788e+16,True,,product_cosmetic,single_visual,none,none,True,False,,False,True,other,2.0,
1.8003215437785596e+16,True,,other,single_visual,none,none,False,True,other,False,True,other,3.0,
1.807034365343624e+16,True,,campaign_price,single_visual,skin_care,none,True,True,staff,False,True,price_campaign,3.0,
1.801751397165328e+16,True,,campaign_price,single_visual,none,none,False,True,staff,False,True,price_campaign,4.0,
1.7983268597036096e+16,True,,product_cosmetic,single_visual,none,none,False,False,,False,True,treatment_explanation,4.0,
1.79979883610039e+16,True,,product_cosmetic,single_visual,none,none,True,False,,False,True,other,4.0,
1.8006691948586248e+16,True,,other,single_visual,none,none,False,False,,False,True,other,4.0,
1.8198528565265384e+16,True,,other,single_visual,none,none,False,False,,False,False,,4.0,
1.7940222101662468e+16,True,,other,single_visual,none,none,False,True,staff,True,True,price_campaign,4.0,
1.79638963464213e+16,True,,other,single_visual,none,none,False,False,,False,False,,3.0,
1.794580443265662e+16,True,,product_cosmetic,single_visual,none,none,False,False,,False,True,other,4.0,
1.836518789500829e+16,True,,campaign_price,single_visual,none,none,False,False,,True,True,price_campaign,4.0,
1.807309645037808e+16,True,,campaign_price,single_visual,none,none,False,True,staff,False,True,price_campaign,4.0,
1.801823534602883e+16,True,,wellness_other,single_visual,none,none,False,False,,False,True,other,5.0,
1.7998570039926906e+16,True,,beauty_tips,single_visual,none,none,False,False,,False,True,other,4.0,
1.8156032029295624e+16,True,,campaign_price,single_visual,none,none,True,False,,False,True,price_campaign,4.0,
1.7949424739539944e+16,True,,wellness_other,single_visual,none,none,False,False,,False,True,other,3.0,
1.802082211430361e+16,True,,product_cosmetic,single_visual,none,none,False,False,,False,True,other,4.0,
1.8080337133394244e+16,True,,campaign_price,single_visual,none,none,False,True,staff,False,True,price_campaign,4.0,
1.8030739852525708e+16,True,,product_cosmetic,single_visual,none,none,True,False,,False,True,other,4.0,
1.7972789933379022e+16,True,,product_cosmetic,single_visual,none,none,True,False,,False,True,treatment_explanation,5.0,
1.7945590133650836e+16,True,,product_cosmetic,single_visual,none,none,False,False,,False,True,other,4.0,
1.7883557408865648e+16,True,,beauty_tips,single_visual,none,hair,False,True,lifestyle_model,False,True,treatment_explanation,4.0,
1.7933090774194852e+16,True,,other,single_visual,none,none,False,True,lifestyle_model,False,True,other,5.0,
1.7974794809364916e+16,True,,product_cosmetic,single_visual,skin_care,none,True,False,,False,True,treatment_explanation,4.0,
1.7872928426682058e+16,True,,beauty_tips,single_visual,none,hair,False,True,patient_result,False,True,treatment_explanation,5.0,
1.7916796148425528e+16,True,,product_cosmetic,single_visual,none,none,False,False,,False,True,other,4.0,
1.8038694622492344e+16,True,,product_cosmetic,single_visual,none,hair,True,False,,False,True,treatment_explanation,4.0,
1.8006295963695346e+16,True,,other,single_visual,none,none,False,False,,False,True,other,4.0,
1.7943565715130584e+16,True,,product_cosmetic,single_visual,none,none,False,False,,False,True,other,3.0,
1.7965391198466964e+16,True,,beauty_tips,single_visual,skin_care,face_overall,False,True,lifestyle_model,False,True,other,4.0,
1.785303303324504e+16,True,,beauty_tips,single_visual,none,none,False,True,lifestyle_model,False,True,other,5.0,
1.7928124856199988e+16,True,,product_cosmetic,single_visual,skin_care,none,True,False,,False,True,treatment_explanation,4.0,
1.8215333737170544e+16,True,,product_cosmetic,single_visual,none,none,False,False,,False,True,other,4.0,
1.8277404457109348e+16,True,,product_cosmetic,single_visual,none,none,False,True,lifestyle_model,False,True,other,4.0,
1.7978464088026978e+16,True,,product_cosmetic,single_visual,none,none,True,False,,False,True,other,4.0,
1.784899757993462e+16,True,,product_cosmetic,single_visual,none,none,False,False,,False,True,treatment_explanation,3.0,
1.797607096093384e+16,True,,product_cosmetic,single_visual,none,eye_area,True,False,,False,True,other,4.0,
1.7952433187355976e+16,True,,beauty_tips,ranking_list,none,none,False,True,lifestyle_model,False,True,other,4.0,
1.8180105397254084e+16,True,,product_cosmetic,single_visual,none,hair,True,False,,False,True,other,3.0,
1.7945868002440608e+16,True,,product_cosmetic,single_visual,skin_care,skin_texture,True,False,,False,True,treatment_explanation,4.0,
1.7843685818885848e+16,True,,product_cosmetic,single_visual,none,none,True,False,,False,True,other,4.0,
1.7980320268620148e+16,True,,product_cosmetic,single_visual,none,none,False,False,,False,True,other,4.0,
1.820799362526983e+16,True,,product_cosmetic,single_visual,none,hair,True,False,,False,True,treatment_explanation,4.0,
1.8211918825253056e+16,True,,product_cosmetic,single_visual,none,none,True,False,,False,True,other,5.0,
1.7860415915992824e+16,True,,campaign_price,single_visual,skin_care,none,False,True,lifestyle_model,False,True,price_campaign,4.0,
1.7849150928058268e+16,True,,product_cosmetic,single_visual,none,none,True,False,,False,True,treatment_explanation,4.0,
1.7938542209719136e+16,True,,product_cosmetic,single_visual,none,none,True,False,,False,True,other,4.0,
1.8030883216527984e+16,True,,other,single_visual,none,none,False,True,staff,False,True,clinic_info,4.0,
1.7992212056069584e+16,True,,other,single_visual,none,none,False,True,lifestyle_model,False,True,other,2.0,
1.8314656489259148e+16,True,,campaign_price,single_visual,none,none,False,False,,False,True,price_campaign,4.0,
1.8233888545209664e+16,True,,product_cosmetic,single_visual,none,none,False,False,,False,True,other,4.0,
1.8018597982699456e+16,True,,product_cosmetic,single_visual,none,none,False,False,,False,True,other,4.0,
1.8203789665343824e+16,True,,product_cosmetic,single_visual,skin_care,skin_texture,True,False,,False,True,treatment_explanation,5.0,
1.8386464849052748e+16,True,,product_cosmetic,single_visual,none,hair,True,True,staff,True,True,treatment_explanation,3.0,
1.7960679533483252e+16,True,,product_cosmetic,single_visual,none,other,True,False,,False,True,treatment_explanation,5.0,
1.7858265428772778e+16,True,,product_cosmetic,single_visual,none,none,False,False,,False,True,other,5.0,
1.7919976154425636e+16,True,,product_cosmetic,single_visual,none,none,False,False,,False,True,treatment_explanation,3.0,
1.7922842984648302e+16,True,,product_cosmetic,single_visual,skin_care,none,True,False,,False,True,other,5.0,
1.7954230012953564e+16,True,,beauty_tips,single_visual,none,none,False,True,lifestyle_model,False,True,other,5.0,
1.801887469979e+16,True,,product_cosmetic,single_visual,none,hair,True,False,,False,True,treatment_explanation,5.0,
1.794962202856863e+16,True,,product_cosmetic,single_visual,none,none,True,False,,False,True,other,4.0,
